SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_LACS
TCS,EQ, 05-Apr-2021,3165.0,3171.0,3263.0,3151.0,3241.0,3238.9,3206.75,5317862,170530.51,229667,2518855,47.37,80773
BAJFINANCE,EQ, 05-Apr-2021,5272.15,5259.0,5259.0,4920.6,4969.5,4962.5,5005.1,3739680,187174.75,260025,1078850,28.85,53997
ICICIBANK,EQ, 05-Apr-2021,594.4,592.0,592.0,563.5,572.0,571.25,572.46,23260127,133154.45,269197,8775222,37.73,50234
INFY,EQ, 05-Apr-2021,1385.2,1391.0,1425.0,1387.0,1415.0,1409.9,1406.84,9479572,133362.74,237018,3462914,36.53,48717
SBIN,EQ, 05-Apr-2021,370.65,367.5,369.2,349.05,354.0,353.55,355.21,51743981,183797.97,382160,12654477,24.46,44949
RELIANCE,EQ, 05-Apr-2021,2021.85,2024.95,2025.0,1962.1,1992.0,1992.6,1986.24,6864856,136352.37,246459,2208186,32.17,43859
HINDUNILVR,EQ, 05-Apr-2021,2399.1,2400.0,2417.2,2346.5,2375.1,2373.2,2377.34,2545447,60514.01,129980,1826014,71.74,43410
HDFCBANK,EQ, 05-Apr-2021,1486.75,1480.0,1485.0,1431.0,1450.2,1449.6,1451.04,8003293,116131.26,238305,2874301,35.91,41707
HDFC,EQ, 05-Apr-2021,2531.45,2530.0,2531.0,2413.0,2448.0,2445.85,2448.25,3353567,82103.77,211024,1668964,49.77,40860
AXISBANK,EQ, 05-Apr-2021,713.0,707.2,708.45,677.45,687.0,685.25,687.85,16239521,111704.09,206940,5562261,34.25,38260
HCLTECH,EQ, 05-Apr-2021,1002.6,1007.0,1040.0,1002.6,1034.55,1033.5,1022.68,9452833,96672.02,235092,3361126,35.56,34373
SAIL,EQ, 05-Apr-2021,83.85,86.5,90.0,83.55,89.95,89.65,87.35,149912383,130955.15,300998,38424603,25.63,33563
INDUSINDBK,EQ, 05-Apr-2021,993.3,985.0,988.95,918.55,938.25,937.35,942.45,11223431,105775.3,218638,3470931,30.93,32711
ITC,EQ, 05-Apr-2021,220.05,217.6,220.0,210.5,211.95,212.55,213.47,31378045,66983.98,220759,14361225,45.77,30656
WIPRO,EQ, 05-Apr-2021,416.4,416.45,427.9,416.2,425.9,425.45,423.14,21216395,89774.45,189433,5936319,27.98,25118
TECHM,EQ, 05-Apr-2021,992.15,992.0,1007.2,978.2,998.6,997.7,996.23,5118272,50989.79,110183,2384209,46.58,23752
KOTAKBANK,EQ, 05-Apr-2021,1804.55,1786.1,1799.6,1734.4,1761.0,1759.2,1758.64,2448241,43055.7,117404,1082397,44.21,19035
TATASTEEL,EQ, 05-Apr-2021,863.05,862.0,877.85,837.15,867.3,867.75,859.01,30575986,262649.95,380909,2172668,7.11,18663
BAJAJFINSV,EQ, 05-Apr-2021,9789.5,9760.0,9763.9,9150.0,9480.0,9481.65,9377.5,612166,57405.86,72614,183480,29.97,17205
NAUKRI,EQ, 05-Apr-2021,4263.05,4270.45,4467.8,4202.45,4426.0,4433.4,4378.35,1259614,55150.37,80706,357832,28.41,15667
VEDL,EQ, 05-Apr-2021,231.25,230.55,232.9,229.0,231.45,231.75,230.91,14527112,33544.84,32761,6771170,46.61,15635
SHREECEM,EQ, 05-Apr-2021,29951.95,29900.0,30628.4,29650.0,30375.0,30358.25,30193.46,124392,37558.25,30244,51734,41.59,15620
TATAMOTORS,EQ, 05-Apr-2021,307.75,306.8,311.7,297.2,305.5,305.05,304.12,66178755,201261.69,346981,5081702,7.68,15454
ATGL,EQ, 05-Apr-2021,1060.65,1064.0,1197.0,1021.0,1168.0,1164.0,1128.45,5752170,64910.1,159953,1360951,23.66,15357
DIVISLAB,EQ, 05-Apr-2021,3616.1,3616.1,3681.0,3561.65,3605.0,3611.05,3625.25,880667,31926.4,52187,415544,47.19,15064
MARUTI,EQ, 05-Apr-2021,6923.9,6908.5,6908.5,6724.6,6773.0,6768.55,6785.21,668129,45333.93,76303,221541,33.16,15032
ADANIENT,EQ, 05-Apr-2021,1107.2,1127.0,1150.0,1098.85,1141.0,1138.25,1127.43,15795720,178085.64,298644,1327960,8.41,14971
BHARTIARTL,EQ, 05-Apr-2021,520.8,520.8,529.0,514.6,528.05,528.25,521.82,9203847,48027.22,92553,2821698,30.66,14724
HEROMOTOCO,EQ, 05-Apr-2021,2956.1,2961.0,2972.95,2866.6,2888.0,2886.9,2901.69,1152927,33454.33,69606,472121,40.95,13699
M&M,EQ, 05-Apr-2021,807.6,808.3,808.8,769.25,775.95,774.45,779.29,4176802,32549.43,80941,1662146,39.79,12952
LT,EQ, 05-Apr-2021,1444.6,1439.0,1439.0,1381.4,1405.5,1403.8,1402.23,2548649,35737.86,86164,863540,33.88,12108
BAJAJ-AUTO,EQ, 05-Apr-2021,3743.05,3700.05,3740.0,3576.05,3598.0,3598.5,3612.34,723573,26137.95,34717,334149,46.18,12070
ASIANPAINT,EQ, 05-Apr-2021,2551.75,2558.0,2558.0,2484.5,2512.0,2510.65,2509.91,1268939,31849.19,74815,460703,36.31,11563
HAPPSTMNDS,EQ, 05-Apr-2021,594.55,617.0,648.7,610.25,622.0,618.8,631.17,13320286,84073.38,280497,1808209,13.57,11412
DRREDDY,EQ, 05-Apr-2021,4587.65,4560.0,4584.0,4423.9,4565.0,4556.6,4523.33,732258,33122.44,52046,248890,33.99,11258
